date,stock_code,total_score
2024-12-11,688256,0.0
2024-12-11,688008,0.0
2024-12-11,688385,0.0
2024-12-11,688521,0.0
2024-12-11,300474,0.0
2024-12-11,603893,0.0
2024-12-11,300223,0.0
2024-12-11,301536,0.0
2024-12-11,300458,0.0
2024-12-11,603160,0.0
2024-12-11,688018,0.0
2024-12-11,688099,0.0
2024-12-11,688608,0.0
2024-12-11,603501,0.0
2024-12-11,002281,0.0
2024-12-11,300502,0.0
2024-12-11,300308,0.0
2024-12-11,000977,0.0
2024-12-11,000938,0.0
2024-12-11,603019,0.0
2024-12-11,600100,0.0
2024-12-11,002261,0.0
2024-12-11,300857,0.0
2024-12-11,300442,0.0
2024-12-11,300383,0.0
2024-12-11,002230,0.0
2024-12-11,300418,0.0
2024-12-11,300002,0.0
2024-12-11,688615,0.0
2024-12-11,002555,0.0
2024-12-11,002415,0.0
2024-12-11,002236,0.0
2024-12-11,688322,0.0
2024-12-11,688475,0.0
2024-12-11,300454,0.0
2024-12-11,002065,0.0
2024-12-11,002152,0.0
2024-12-11,600845,0.0
2024-12-11,688568,0.0
2024-12-11,000032,0.0
2024-12-11,600536,0.0
2024-12-11,688111,0.0
2024-12-11,600588,0.0
2024-12-11,300496,0.0
2024-12-11,601360,0.0
2024-12-11,002920,0.0
2024-12-11,600699,0.0
2024-12-11,603486,0.0
2024-12-11,688169,0.0
2024-12-11,002402,0.0
2024-12-12,688256,0.0
2024-12-12,688008,0.0
2024-12-12,688385,0.0
2024-12-12,688521,0.0
2024-12-12,300474,0.0
2024-12-12,603893,0.0
2024-12-12,300223,0.0
2024-12-12,301536,0.0
2024-12-12,300458,0.0
2024-12-12,603160,0.0
2024-12-12,688018,0.0
2024-12-12,688099,0.0
2024-12-12,688608,0.0
2024-12-12,603501,0.0
2024-12-12,002281,0.0
2024-12-12,300502,0.0
2024-12-12,300308,0.0
2024-12-12,000977,0.0
2024-12-12,000938,0.0
2024-12-12,603019,0.0
2024-12-12,600100,0.0
2024-12-12,002261,0.0
2024-12-12,300857,0.0
2024-12-12,300442,0.0
2024-12-12,300383,0.0
2024-12-12,002230,0.0
2024-12-12,300418,0.0
2024-12-12,300002,0.0
2024-12-12,688615,0.0
2024-12-12,002555,0.0
2024-12-12,002415,0.0
2024-12-12,002236,0.0
2024-12-12,688322,0.0
2024-12-12,688475,0.0
2024-12-12,300454,0.0
2024-12-12,002065,0.0
2024-12-12,002152,0.0
2024-12-12,600845,0.0
2024-12-12,688568,0.0
2024-12-12,000032,0.0
2024-12-12,600536,0.7506
2024-12-12,688111,0.7506
2024-12-12,600588,0.0
2024-12-12,300496,0.0
2024-12-12,601360,0.0
2024-12-12,002920,0.0
2024-12-12,600699,0.0
2024-12-12,603486,0.0
2024-12-12,688169,0.0
2024-12-12,002402,0.0
2024-12-13,688256,0.0
2024-12-13,688008,0.0
2024-12-13,688385,0.0
2024-12-13,688521,0.0
2024-12-13,300474,0.0
2024-12-13,603893,0.0
2024-12-13,300223,0.0
2024-12-13,301536,0.0
2024-12-13,300458,0.0
2024-12-13,603160,0.0
2024-12-13,688018,0.0
2024-12-13,688099,0.0
2024-12-13,688608,0.0
2024-12-13,603501,0.0
2024-12-13,002281,0.0
2024-12-13,300502,0.0
2024-12-13,300308,0.0
2024-12-13,000977,0.0
2024-12-13,000938,0.0
2024-12-13,603019,0.0
2024-12-13,600100,0.0
2024-12-13,002261,0.0
2024-12-13,300857,0.0
2024-12-13,300442,0.0
2024-12-13,300383,0.0
2024-12-13,002230,0.0
2024-12-13,300418,0.0
2024-12-13,300002,0.0
2024-12-13,688615,0.0
2024-12-13,002555,0.0
2024-12-13,002415,0.0
2024-12-13,002236,0.0
2024-12-13,688322,0.0
2024-12-13,688475,0.0
2024-12-13,300454,0.0
2024-12-13,002065,0.0
2024-12-13,002152,0.0
2024-12-13,600845,0.0
2024-12-13,688568,0.0
2024-12-13,000032,0.0
2024-12-13,600536,0.7024
2024-12-13,688111,0.7024
2024-12-13,600588,0.0
2024-12-13,300496,0.0
2024-12-13,601360,0.0
2024-12-13,002920,0.0
2024-12-13,600699,0.0
2024-12-13,603486,0.0
2024-12-13,688169,0.0
2024-12-13,002402,0.0
2024-12-14,688256,0.0
2024-12-14,688008,0.0
2024-12-14,688385,0.0
2024-12-14,688521,0.0
2024-12-14,300474,0.0
2024-12-14,603893,0.0
2024-12-14,300223,0.0
2024-12-14,301536,0.0
2024-12-14,300458,0.0
2024-12-14,603160,0.0
2024-12-14,688018,0.0
2024-12-14,688099,0.0
2024-12-14,688608,0.0
2024-12-14,603501,0.0
2024-12-14,002281,0.0
2024-12-14,300502,0.0
2024-12-14,300308,0.0
2024-12-14,000977,0.0
2024-12-14,000938,0.0
2024-12-14,603019,0.0
2024-12-14,600100,0.0
2024-12-14,002261,0.0
2024-12-14,300857,0.0
