Symbol,Name,Last_Close,LSTM_Base_Return(%)
300223,北京君正,121.83,-3.94
300458,全志科技,41.96,0.05
300474,景嘉微,71.58,-0.54
301536,星宸科技,70.96,-0.77
603160,汇顶科技,78.7,-0.55
603501,韦尔股份,115.82,-0.13
603893,瑞芯微,184.35,-1.87
688008,澜起科技,164.6,-0.3
688018,乐鑫科技,167.3,-0.88
688099,晶晨股份,94.28,-0.08
688256,寒武纪,1120.68,1.51
688385,复旦微电,85.65,-1.63
688521,芯原股份,275.5,-6.36
688608,恒玄科技,209.01,0.69
002281,光迅科技,70.02,0.27
300308,中际旭创,531.0,-1.51
300502,新易盛,366.11,-2.27
000938,紫光股份,25.5,0.11
000977,浪潮信息,65.33,-0.41
002261,拓维信息,33.16,0.18
300383,光环新网,17.75,0.02
300442,润泽科技,76.5,0.09
300857,协创数据,247.87,-4.29
600100,同方股份,9.33,-2.36
603019,中科曙光,91.7,-0.15
002402,和而泰,36.01,1.72
603486,科沃斯,70.86,-0.3
688169,石头科技,148.2,0.76
002920,德赛西威,122.63,-1.08
600699,均胜电子,27.9,-2.94
002230,科大讯飞,57.12,-0.08
002555,三七互娱,25.18,0.07
300002,神州泰岳,12.21,0.12
300418,昆仑万维,60.39,-2.24
688615,合合信息,239.72,2.83
002236,大华股份,18.92,0.09
002415,海康威视,32.38,-0.63
688322,奥比中光,96.77,-0.28
688475,萤石网络,30.29,0.28
000032,深桑达A,20.8,-1.07
002065,东华软件,9.62,-1.11
002152,广电运通,13.46,-2.46
300454,深信服,146.51,-0.95
300496,中科创达,73.8,-0.54
600536,中国软件,45.13,-0.39
600588,用友网络,14.6,-0.66
600845,宝信软件,23.91,1.06
601360,三六零,12.9,-0.31
688111,金山办公,307.28,-0.06
688568,中科星图,65.1,-2.49
